0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,9.950041652780258206e-01,-2.500000000000000000e-01
2.000000000000000000e+00,9.800665778412416262e-01,1.000000000000000000e+00
3.000000000000000000e+00,9.553364891256059810e-01,-2.500000000000000000e-01
4.000000000000000000e+00,9.210609940028851028e-01,1.000000000000000000e+00
5.000000000000000000e+00,8.775825618903727587e-01,-2.500000000000000000e-01
6.000000000000000000e+00,8.253356149096782168e-01,1.000000000000000000e+00
7.000000000000000000e+00,7.648421872844883840e-01,-2.500000000000000000e-01
8.000000000000000000e+00,6.967067093471653871e-01,1.000000000000000000e+00
9.000000000000000000e+00,6.216099682706645035e-01,-2.500000000000000000e-01
1.000000000000000000e+01,5.403023058681397650e-01,1.000000000000000000e+00
1.100000000000000000e+01,4.535961214255773144e-01,-2.500000000000000000e-01
1.200000000000000000e+01,3.623577544766733993e-01,1.000000000000000000e+00
1.300000000000000000e+01,2.674988286245873481e-01,-2.500000000000000000e-01
1.400000000000000000e+01,1.699671429002408141e-01,1.000000000000000000e+00
1.500000000000000000e+01,7.073720166770290640e-02,-2.500000000000000000e-01
1.600000000000000000e+01,-2.919952230128881540e-02,1.000000000000000000e+00
1.700000000000000000e+01,-1.288444942955248584e-01,-2.500000000000000000e-01
1.800000000000000000e+01,-2.272020946930871088e-01,1.000000000000000000e+00
1.900000000000000000e+01,-3.232895668635035746e-01,-2.500000000000000000e-01
