NodeIndex,MeanLogU_0.1,MeanLogU_0.3,MeanLogU_0.5,MeanLogU_0.7,MeanLogU_0.9
0,0.11105078797088426,-0.23065825130219508,-0.09464193005026572,-0.09541359022359591,-0.06149076723610811
1,0.07413543351902525,0.09421342611335892,0.034131180202634566,-0.016668874765696166,-0.09017588084240526
2,0.01978671491411412,-0.10156328560472815,0.02367851363195913,0.07958995546165887,-0.06368817939887991
3,-0.08105170350404611,-0.039389727816009634,0.04882075980947019,0.024883260748292016,-0.14688484434252172
4,0.0030357907534637124,-0.016518793278871048,-0.11812865426928995,-0.011040288142016685,-0.33795689535476137
5,-0.12363028460459556,-0.14567090137560856,0.044575601721668204,-0.1640690448703229,-0.24194736179657686
6,0.0060607091362888926,-0.10822786085717072,-0.20329739635094868,-0.06160811785162881,-0.29113583685381583
7,-0.02444146113395178,-0.04325585091345306,-0.03990364877308515,-0.05447984147409077,-0.39576448100424966
8,0.04194418641388077,0.1329338011112556,-0.1911720357598965,-0.03510152580913173,-0.29688820643379654
9,0.12988424999782294,0.020827615162993515,-0.21210001249273858,-0.20140652499389106,-0.3277003554954313
10,0.07505419991095445,-0.1293103468180412,-0.2099212521971046,-0.255930735674918,-0.5814204482169049
11,-0.09415358839286579,-0.056755026902032976,-0.31901751307082804,-0.2751940709513627,-0.5801462602878485
12,-0.10874980126442174,-0.14005606371973386,-0.2744260640582517,-0.3685296736686189,-0.6555928018864983
13,-0.0995728497805091,-0.048896146699781,-0.16075738456080885,-0.3868547660401207,-0.6320138802575609
14,-0.10104495467403452,-0.17360292682220552,-0.14185610796992862,-0.418100106476704,-0.5969692045060347
15,-0.11885341818500238,-0.1090441324209582,-0.23749917503121526,-0.49996487460858813,-0.7056386857823144
16,0.18315152499658988,0.09755659805139423,-0.138427027864923,-0.48061962528646934,-0.8164994617123261
17,0.112962918287395,-0.21045366596164372,-0.4078143916772036,-0.5259635149423217,-0.900694663995109
18,-0.07720726084416153,-0.011378414782522633,-0.2766102505573459,-0.4949608973590223,-0.747507056392363
19,-0.014034063006389121,-0.12288800749305243,-0.21184350632373694,-0.5820499051493588,-0.8193811576284349
20,0.22780054427838384,-0.030654395094598053,-0.215746137563895,-0.5614434751586882,-0.9505963150573087
21,-0.1988694727785753,-0.1181956788052076,-0.31491969821881266,-0.5843907028472228,-1.170967851583456
22,0.017575312601117152,-0.11402886048901296,-0.10571253435993719,-0.6316267655906577,-1.001392203189562
23,0.1773271757473718,-0.11163218841270606,-0.3231272657392978,-0.45343985332522885,-1.1352898776263962
24,-0.009117676706960377,0.02068678617048883,-0.47423232903907336,-0.6217316151662589,-1.297413690046184
25,-0.08013416676688503,-0.01946641595302072,-0.3452277348552261,-0.9082294097736765,-1.1086016338319378
26,0.10098679278742981,-0.10889043496683068,-0.5400988978896615,-0.906858978261705,-1.2458124846002
27,0.19907476519579392,0.009639380159227134,-0.3025450491899206,-0.7156796674940382,-1.4841885222049365
28,-0.04629157781046271,-0.020770605029349617,-0.45220265297606854,-0.7303983528192906,-1.4251552058582158
29,0.0903455528029742,-0.03304484314877379,-0.47672428734756916,-0.8996346889573137,-1.4644955120801544
30,-0.12593316775993182,-0.026887691946950704,-0.42167165140427576,-0.8771629737658839,-1.5530612735471254
31,-0.004603343537026454,-0.2873171817498929,-0.476692712377169,-0.9345192551061908,-1.4870588887552276
32,0.03190335648295324,0.01151872991425762,-0.6820306611111169,-0.9769967967302111,-1.494865930586291
33,-0.07816512486179686,-0.28235731536389574,-0.7191022664865379,-0.9130448987032574,-1.6865470801832507
34,-0.0869730590322052,-0.18135227077760208,-0.5428702657859164,-1.1188517967123826,-1.4967394772505194
35,0.028291748373775932,-0.10454483538404931,-0.5033319935243937,-1.1215845967192641,-1.7232360751704656
36,0.051499605736195345,-0.3886995269894043,-0.48516119191924406,-1.0111643528208922,-1.618198821996661
37,-0.14193691321701235,-0.17733535444255735,-0.5819218102691379,-1.1823002501568414,-1.8019774083213853
38,-0.09873518059910122,-0.08363261934210259,-0.6539024317679967,-1.1367751681206977,-1.7960711747146
39,0.00281377914967533,-0.17195974262254501,-0.5743650276918297,-1.1363631840424797,-1.804212417851753
40,-0.1941779705457843,-0.11991490868797519,-0.6850801749451658,-1.4009346785994188,-2.0576148441985946
41,-0.14351943437640904,-0.2568150793520012,-0.6129044167352405,-1.158689289971864,-1.938259046909891
42,-0.009402511213070605,-0.36443087625692705,-0.7835323546228329,-1.260219631333468,-2.1821369903040724
43,0.03751442743049862,-0.20401927305381606,-0.6781030869374843,-1.1005234940365167,-2.1535255507517843
44,-0.016626107275999655,-0.33951906878858773,-0.8500401625772556,-1.0701056570938179,-2.187609366792647
45,-0.05259400612226548,-0.2539112259944602,-0.489043578713721,-1.5031650748218317,-2.1642016469619993
46,0.12224781161524671,-0.3164508668784167,-0.7367458751971483,-1.3770764732033567,-2.4730939976759494
47,-0.02678128292698637,-0.21229775332236767,-0.6084682288672437,-1.454405630609906,-2.3314417909606746
48,-0.10079619227697022,-0.32240013473744916,-0.7669674993669412,-1.4522411941815339,-2.401971988522565
49,-0.2561264349354026,-0.2880445962491038,-0.7383481806661031,-1.5793950083934971,-2.6121492005699074
50,0.00261652683706938,-0.021858707074014827,-0.7393784276780642,-1.6121313695057025,-2.6729204347788014
51,-0.09602831248524775,-0.25582057186441787,-0.8453833864008771,-1.7257390588582942,-2.577488922958972
52,-0.08687535440255581,-0.2791369574171222,-0.8272195530389413,-1.6279315138184118,-2.7501111455506133
53,-0.06356187162295943,-0.13894843219386857,-0.8338249797252684,-1.5422301995917458,-2.6196605445795313
54,-0.14017347722651954,-0.22011054909425767,-0.7477480485829767,-1.579984632734859,-2.8078249827200676
55,-0.007686433099156245,-0.1339996142793349,-0.9024414101682579,-1.3782613756864726,-2.793877806552792
56,-0.06988813654384968,-0.23846989448566489,-0.8036034455392106,-1.5351456521457032,-2.8607886365176265
57,0.20821396794441105,-0.24580422638226726,-0.7897739523631109,-1.8140540302535728,-2.8261292787383905
58,-0.12362470029670378,-0.31223965042436463,-0.9429590437491766,-1.755783012893649,-2.858510684155838
59,-0.031043804005278692,-0.15145962936495036,-0.8754216798775991,-1.6261718507605836,-3.159565784689731
60,-0.12077151033427255,-0.26652778810857686,-0.8405488008013802,-1.7267892220733152,-3.2105616393453538
61,0.011981361151739811,-0.3031236343831923,-0.8602204879938202,-1.807399783086911,-2.971197742447591
62,-0.15071875495887155,-0.09992669541372728,-0.8984950822399466,-1.9702077727541596,-3.203111252008245
63,-0.05526727529822059,-0.5224789766892216,-0.7861437826753411,-1.9029925873492646,-3.105826648847168
64,-0.05665836741075197,-0.3826460014137933,-1.056215260342412,-2.1485774606974397,-3.164973318057157
65,-0.023397383652426038,-0.2394917678241989,-0.7750794437911657,-1.8087703827179509,-3.231525239700948
66,-0.25392000352128985,-0.41143393103919795,-1.0898908523111177,-1.9101199627877121,-3.2948605448367942
67,-0.00945411544218206,-0.40428971313758555,-1.0706690595142416,-1.9470126731266106,-3.307348761087056
68,-0.05779375856371632,-0.2784686413607001,-0.9563509281814725,-2.063609739239726,-3.5159492543705846
69,0.04943037165523946,-0.3380199039967609,-0.8091622449022058,-2.194838837352231,-3.436976417846037
70,-0.1494843046673806,-0.2785804523034054,-1.1402690685046604,-2.110457619199047,-3.4574027357343753
71,-0.08359030509510507,-0.417104664222121,-1.2165567387210536,-2.060410425504193,-3.4705270143264597
72,-0.16803464002826418,-0.3593369275151185,-1.07786262181731,-2.002396068169845,-3.5319805384945258
73,-0.1573913265747296,-0.41505974694357467,-1.1452794361217393,-2.23411356928021,-3.6681870675699355
74,-0.011165828439410233,-0.46927772873749984,-0.9117236357433198,-2.370539717032147,-3.680098251309463
75,-0.021278551213875,-0.4736820810017986,-1.0855849017033536,-2.1900313308606445,-3.72912166778193
76,-0.09003709948716723,-0.30409357016519156,-1.2098127656029265,-2.180643181198392,-3.8713199075626137
77,-0.06283583271691878,-0.6162601967419695,-1.0716493374104452,-2.3142864211055065,-3.836059033208387
78,-0.04680313873044689,-0.4223173526292608,-1.0988388322376874,-2.2757785724465025,-3.877000576695879
79,-0.0020914819005906082,-0.5023911778058956,-1.336715126338318,-2.185296939798886,-3.9882562424939456
80,-0.021571423203651637,-0.36901336716151023,-0.9180912905444085,-2.437099897535088,-3.986506496379796
81,0.09785926519290443,-0.4360434791953079,-1.1589986571855904,-2.3675232165534563,-3.9329511252208276
82,-0.08446310432500781,-0.3464116950492904,-1.231845873010233,-2.4106396765263916,-4.156988490091027
83,0.06602897985704333,-0.3722610243780899,-1.2577852344908231,-2.4207906959346537,-3.9139387411631006
84,-0.11610771478503866,-0.6012920688774833,-1.068201441212063,-2.4954999548001204,-4.183636564535288
85,-0.02891939736153558,-0.37296128279598645,-1.2410640451250006,-2.444964764525335,-4.1868760636905735
86,-0.058921431699503535,-0.4691445893849917,-1.2667704609022017,-2.589703930826038,-4.199595301622261
87,-0.010333128855925869,-0.4337644364018974,-1.4853830888726574,-2.7675814854102057,-4.316244136091654
88,-0.08466515876755934,-0.4686327564606389,-1.383690273531044,-2.607898291802646,-4.461975243334555
89,0.08705723198321211,-0.3960665837621385,-1.50227441698262,-2.630937920072927,-4.466530283764898
90,-0.2933585712757079,-0.2224342214666754,-1.3291143211533791,-2.708606156751562,-4.431365151934885
91,-0.00497638604157867,-0.4660541965667193,-1.3116708009802096,-2.767645906005839,-4.5021122030007925
92,-0.022183156550813765,-0.23452229193453925,-1.7053034234976618,-2.732463078593817,-4.871993809095704
93,-0.016178675527910927,-0.5261964328361098,-1.408079746589085,-2.936987630714756,-4.47990878646996
94,0.08117958835387637,-0.5030991248521215,-1.5860315910291407,-2.687312446012086,-4.729436202395845
95,0.03760700886067919,-0.3508036420868591,-1.375222219846236,-2.878941615814783,-4.813269060734577
96,-0.23649000190828814,-0.4637890135841302,-1.3989564681133944,-2.9090783590023985,-4.740934908347092
97,0.015513636956913546,-0.4139433564185383,-1.5674970240921517,-2.943997996960576,-4.924626932873745
98,-0.14210692587348628,-0.45329957784814434,-1.4689985254813558,-3.0802210036020896,-4.851548370879631
99,-0.07697758225083776,-0.328326990922049,-1.4548410898062965,-2.937361744223109,-5.0391281332067965
100,-0.055188889803838875,-0.6363265013182362,-1.4765619900840028,-2.9796588519263807,-5.007505895951087
101,-0.1855090555734758,-0.6032132713379993,-1.3097994852724009,-2.9313504743179086,-5.050898271872477
102,-0.23904298895865492,-0.46913802308941455,-1.4949243298573351,-3.044111654457245,-5.004090601510757
103,-0.0874499627662341,-0.23729470068559477,-1.6786997596795339,-3.06525131185033,-5.083743234771127
104,-0.0895490102997016,-0.5814567780605352,-1.5536655817087652,-2.927044628733052,-5.229416800748352
105,-0.1625960960783563,-0.4695949560863215,-1.559927044755669,-3.175128104839798,-5.459633339916783
106,-0.19728003007635536,-0.34309784197604365,-1.5970279387179138,-3.163358319159032,-5.378638438932604
107,-0.1064013121893696,-0.4359735981609182,-1.6292681040512589,-3.265810705814266,-5.306993748557178
108,-0.13803396454689634,-0.30984388852189715,-1.5216365156476923,-3.276005608157345,-5.3251388788543945
109,-0.11470118922501542,-0.7043147516148531,-1.43865559024045,-3.273622002714923,-5.553539731150714
110,0.07480322548705558,-0.6606284118555277,-1.5000552883470848,-3.448365447002581,-5.485860298589439
111,-0.05266234671990241,-0.7545384765028905,-1.734432397971002,-3.353628508922309,-5.5766128174168985
112,0.02181854337915924,-0.6120461887492866,-1.7450843199706223,-3.3067935992512103,-5.452642400124345
113,-0.17516374916291044,-0.5377359160279436,-1.630215020117661,-3.277763513747012,-5.526488587021778
114,0.04646587306500009,-0.6541445098646823,-1.6799911778058312,-3.360878830924496,-5.657748840199465
115,-0.1171471109623701,-0.544931127159907,-1.5161523015936549,-3.252970744040256,-5.946218610912819
116,-0.10271198860551603,-0.5503861889459132,-1.6836678344893437,-3.406890764822975,-5.821405752598068
117,-0.11084730947084952,-0.6557438940639702,-1.837961648413014,-3.567792813876221,-5.891842938590093
118,-0.08126832299584363,-0.539934766230554,-1.9167152723905856,-3.5563702280106515,-5.894497526808452
119,-0.2737633227186027,-0.6579601799828908,-1.764177808751764,-3.4691187145730806,-6.094074875550616
120,-0.1198613698804243,-0.6820655788027279,-1.6249004929841637,-3.4204224289364547,-5.881612986158204
121,-0.05289571269391727,-0.49560071896511326,-1.8943716301824134,-3.5052787966356846,-5.893425976889192
122,0.02084017122301568,-0.4189525254888098,-1.828279180287477,-3.597362585869874,-6.121894916776319
123,-0.07776594989790896,-0.5217214921814234,-1.8274584514066439,-3.533167923976022,-6.175079318739468
